"age","annual_income","credit_score","city","has_lyft","Y"
44,35.916,440,"Bellevue",0,1
48,45.015,657,"Bellevue",1,1
43,39.694,663,"Redmond",0,0
66,38.095,737,"Bellevue",1,0
36,108.177,704,"Redmond",1,1
34,53.863,746,"Redmond",1,1
63,31.863,553,"Redmond",1,0
68,26.887,627,"Bellevue",1,1
32,88.931,562,"Redmond",0,1
32,44.091,675,"Redmond",0,1
64,65.36,702,"Bellevue",1,1
37,96.572,595,"Kirkland",1,1
51,53.49,616,"Redmond",1,0
50,108.672,637,"Redmond",0,1
42,59.41,497,"Bellevue",0,0
23,32.784,646,"Bellevue",1,0
54,52.288,573,"Kirkland",0,0
63,102.371,694,"Redmond",0,0
70,26.484,766,"Redmond",1,0
21,45.942,670,"Redmond",1,0
62,64.814,584,"Bellevue",0,0
54,27.469,571,"Bellevue",0,0
54,60.295,648,"Redmond",0,1
50,75.913,654,"Redmond",0,1
68,132.071,572,"Kirkland",1,1
59,58.854,799,"Kirkland",1,1
70,90.152,558,"Redmond",1,0
55,27.347,799,"Redmond",1,1
20,66.128,448,"Kirkland",1,0
46,51.999,621,"Redmond",0,0
53,130.112,642,"Bellevue",1,1
24,49.629,799,"Bellevue",1,0
46,77.248,699,"Kirkland",0,1
31,28.668,638,"Redmond",0,1
40,82.41,670,"Kirkland",0,1
56,94.004,771,"Kirkland",0,0
23,83.062,608,"Kirkland",1,0
49,166.084,671,"Redmond",0,1
58,62.601,718,"Kirkland",1,0
26,40.483,594,"Redmond",1,0
47,80.192,608,"Kirkland",1,0
23,47.629,597,"Redmond",1,0
63,55.977,566,"Bellevue",0,1
70,58.575,665,"Bellevue",0,0
56,47.691,772,"Bellevue",0,1
58,35.607,642,"Redmond",1,0
57,94.135,799,"Kirkland",1,1
32,76.927,681,"Kirkland",0,1
59,44.576,456,"Redmond",0,0
27,85.392,637,"Bellevue",1,0
18,248.906,796,"Redmond",1,1
32,49.004,598,"Bellevue",1,0
35,59.848,505,"Bellevue",1,0
48,18.299,700,"Kirkland",1,0
42,36.824,591,"Kirkland",1,0
52,26.527,665,"Redmond",1,0
44,111.274,605,"Bellevue",0,1
31,20.542,663,"Kirkland",0,0
58,81.863,658,"Bellevue",1,1
57,147.255,642,"Bellevue",1,1
26,79.179,612,"Kirkland",1,1
58,94.176,601,"Redmond",1,0
31,74.229,593,"Kirkland",0,1
67,86.181,794,"Redmond",0,1
41,14.162,568,"Redmond",1,0
46,150.518,568,"Redmond",1,1
24,67.284,647,"Redmond",0,1
63,69.829,681,"Bellevue",1,0
21,38.54,555,"Bellevue",0,1
49,72.58,588,"Kirkland",1,0
68,41.598,621,"Kirkland",0,0
35,61.761,578,"Kirkland",1,1
63,51.709,658,"Redmond",0,1
45,126.199,743,"Kirkland",0,1
19,65.243,449,"Bellevue",0,1
33,63.288,756,"Redmond",1,1
22,44.399,618,"Bellevue",0,1
50,32.468,775,"Kirkland",1,0
35,49.999,555,"Redmond",0,0
46,45.421,432,"Redmond",0,1
21,51.292,799,"Redmond",0,1
42,83.954,762,"Bellevue",0,1
28,71.059,564,"Redmond",0,1
26,67.568,700,"Redmond",1,1
19,31.281,719,"Redmond",1,1
32,24.401,595,"Redmond",1,0
70,57.248,451,"Kirkland",1,0
38,54.685,640,"Kirkland",0,0
70,75.819,422,"Kirkland",0,1
22,34.381,681,"Kirkland",0,0
59,135.33,544,"Kirkland",1,1
30,42.871,736,"Kirkland",1,1
21,28.183,442,"Bellevue",1,1
38,32.34,543,"Kirkland",1,0
19,29.697,563,"Kirkland",0,1
42,65.454,681,"Redmond",0,0
45,43.458,534,"Bellevue",1,0
26,132.111,597,"Bellevue",0,1
69,95.117,798,"Redmond",0,1
26,59.264,773,"Redmond",0,1
59,23.154,470,"Bellevue",1,0
31,105.552,625,"Bellevue",1,0
23,49.71,700,"Redmond",0,1
45,91.755,640,"Kirkland",1,0
30,43.473,799,"Kirkland",0,1
58,49.338,644,"Bellevue",1,0
46,47.383,708,"Bellevue",1,0
63,84.842,534,"Kirkland",1,0
65,53.447,749,"Kirkland",0,1
34,74.8,720,"Redmond",0,1
27,80.777,715,"Kirkland",1,0
43,45.164,687,"Bellevue",0,1
42,63.294,601,"Kirkland",1,0
32,34.936,648,"Kirkland",1,0
60,36.237,557,"Kirkland",0,0
25,64.782,567,"Bellevue",1,0
31,39.841,373,"Redmond",0,0
35,44.601,560,"Kirkland",0,0
54,82.251,639,"Bellevue",0,1
47,71.673,500,"Kirkland",1,0
68,35.006,538,"Bellevue",1,0
21,104.516,470,"Bellevue",1,0
52,68.368,773,"Kirkland",0,1
64,51.164,723,"Kirkland",0,0
25,20.19,566,"Kirkland",1,0
45,41.188,563,"Bellevue",0,0
27,20.234,524,"Kirkland",1,0
25,70.788,655,"Redmond",1,1
25,109.784,678,"Redmond",1,0
44,49.823,730,"Kirkland",1,0
52,59.625,641,"Redmond",0,1
39,85.732,722,"Kirkland",0,0
55,43.241,727,"Redmond",1,0
28,39.531,691,"Kirkland",0,0
36,37.706,635,"Redmond",1,0
40,99.104,754,"Redmond",0,1
32,62.127,494,"Bellevue",1,1
66,44.106,742,"Kirkland",0,0
40,76.105,533,"Kirkland",1,0
22,57.563,521,"Kirkland",1,0
65,46.356,673,"Kirkland",0,0
57,55.028,631,"Bellevue",1,0
28,107.724,435,"Kirkland",1,0
39,48.807,654,"Kirkland",1,0
41,65.144,621,"Redmond",1,1
40,45.198,626,"Kirkland",0,0
37,44.045,619,"Kirkland",0,0
27,63.977,738,"Bellevue",1,1
44,35.999,728,"Redmond",0,1
55,153.011,598,"Kirkland",0,1
38,46.827,696,"Redmond",1,0
51,74.661,579,"Bellevue",1,0
34,40.031,731,"Redmond",0,1
22,86.241,550,"Kirkland",1,0
28,29.759,717,"Bellevue",1,1
39,60.813,776,"Bellevue",1,1
45,72.295,712,"Kirkland",1,0
43,23.084,724,"Redmond",0,0
41,66.994,636,"Kirkland",1,0
56,44.217,607,"Kirkland",1,0
66,72.299,707,"Kirkland",1,0
61,91.099,719,"Kirkland",1,1
59,77.997,519,"Bellevue",1,0
35,66.479,638,"Redmond",0,0
24,49.281,667,"Redmond",1,1
28,39.195,686,"Redmond",1,1
40,62.962,502,"Redmond",0,0
32,23.391,650,"Bellevue",1,0
33,127.237,799,"Bellevue",0,1
22,59.529,424,"Redmond",1,0
36,106.167,627,"Kirkland",0,1
37,25.51,756,"Kirkland",1,0
50,92.314,799,"Redmond",0,1
45,26.277,760,"Redmond",0,0
65,56.435,713,"Redmond",0,1
64,101.298,719,"Kirkland",1,0
60,29.629,603,"Bellevue",1,1
24,43.807,618,"Redmond",1,1
33,123.907,604,"Kirkland",1,0
37,57.756,697,"Redmond",0,1
38,110.123,656,"Bellevue",1,1
64,156.591,691,"Bellevue",1,1
52,47.374,718,"Bellevue",1,0
54,95.546,554,"Kirkland",1,0
64,63.998,443,"Bellevue",0,0
47,40.185,660,"Bellevue",0,1
66,76.447,580,"Kirkland",0,0
31,41.478,504,"Bellevue",0,0
41,60.961,653,"Kirkland",0,1
26,107.804,441,"Redmond",0,1
33,59.903,654,"Redmond",0,1
51,72.831,687,"Kirkland",1,1
64,33.045,743,"Bellevue",1,0
66,12.551,799,"Kirkland",0,0
50,83.056,587,"Kirkland",1,0
20,25.635,628,"Kirkland",1,1
60,28.961,549,"Redmond",0,0
57,56.297,672,"Redmond",1,0
37,88.393,761,"Redmond",0,1
62,45.27,523,"Redmond",1,0
42,12.179,560,"Bellevue",1,0
56,38.802,480,"Bellevue",1,0
67,15.725,697,"Kirkland",1,0
27,223.431,641,"Bellevue",1,1
26,69.051,676,"Redmond",0,0
40,52.731,799,"Bellevue",1,0
24,81.683,641,"Kirkland",1,0
47,74.923,604,"Redmond",1,0
67,55.411,779,"Redmond",1,0
27,113.08,621,"Bellevue",0,1
42,87.617,703,"Redmond",1,0
36,40.302,586,"Redmond",1,0
69,32.157,540,"Bellevue",0,1
41,44.954,744,"Kirkland",0,0
29,43.849,584,"Redmond",1,1
36,76.138,733,"Kirkland",0,0
48,116.649,799,"Bellevue",0,1
67,41.205,554,"Kirkland",1,0
62,58.533,756,"Redmond",1,1
40,48.116,534,"Redmond",0,1
52,88.12,636,"Redmond",1,0
42,36.681,733,"Bellevue",0,1
54,69.086,697,"Bellevue",0,0
32,51.303,768,"Kirkland",0,1
36,58.953,640,"Bellevue",0,1
56,146.384,782,"Bellevue",0,1
51,46.871,603,"Kirkland",0,0
21,32.836,558,"Kirkland",0,0
42,52.306,711,"Kirkland",1,1
44,46.2,538,"Kirkland",1,0
38,36.754,593,"Bellevue",1,0
24,129.496,588,"Kirkland",0,0
69,45.488,646,"Redmond",0,0
28,60.294,571,"Kirkland",0,0
22,68.745,644,"Kirkland",1,0
47,75.036,661,"Redmond",0,0
27,18.685,646,"Redmond",0,0
48,75.093,674,"Redmond",0,1
70,56.064,799,"Redmond",0,0
29,45.691,656,"Redmond",1,0
38,55.315,712,"Kirkland",1,0
45,101.886,769,"Redmond",0,1
54,46.56,799,"Bellevue",0,0
56,64.506,693,"Redmond",0,0
33,102.657,550,"Kirkland",1,0
33,86.835,764,"Kirkland",0,1
45,44.021,653,"Bellevue",0,1
51,56.251,558,"Kirkland",0,0
39,56.796,537,"Kirkland",0,1
63,61.267,750,"Kirkland",0,1
24,28.331,636,"Bellevue",1,0
38,58.32,637,"Redmond",0,1
23,55.325,649,"Bellevue",1,1
21,62.259,630,"Kirkland",1,0
21,51.147,557,"Redmond",1,0
48,159.159,604,"Bellevue",1,1
60,121.861,632,"Kirkland",1,1
43,75.39,794,"Redmond",0,0
22,46.567,553,"Kirkland",1,1
21,61.375,797,"Redmond",1,1
47,42.88,799,"Bellevue",1,0
61,60.948,792,"Bellevue",0,0
43,39.781,648,"Redmond",0,1
40,40.613,749,"Bellevue",1,0
64,89.249,654,"Redmond",1,0
32,30.208,663,"Kirkland",0,0
66,49.507,506,"Kirkland",1,0
31,55.161,468,"Kirkland",0,0
33,65.238,642,"Bellevue",0,1
44,82.519,797,"Kirkland",1,0
20,30.938,634,"Kirkland",0,1
37,43.252,639,"Kirkland",0,0
64,59.254,593,"Redmond",0,0
22,45.109,494,"Kirkland",1,0
30,65.873,799,"Kirkland",0,1
37,143.356,697,"Redmond",1,0
20,44.576,699,"Redmond",0,0
20,79.381,498,"Redmond",0,0
38,55.089,565,"Bellevue",1,1
68,59.381,636,"Bellevue",0,1
31,40.614,540,"Bellevue",0,0
19,73.379,768,"Redmond",0,1
27,57.228,474,"Bellevue",0,0
25,113.818,532,"Redmond",1,1
46,48.068,674,"Kirkland",0,0
50,98.648,651,"Kirkland",1,0
38,55.319,676,"Kirkland",1,0
39,109.211,799,"Kirkland",1,1
39,69.319,781,"Redmond",0,1
51,159.393,543,"Bellevue",0,0
63,110.51,609,"Kirkland",0,1
21,95.335,799,"Bellevue",0,1
43,113.701,406,"Redmond",0,0
19,132.858,520,"Bellevue",1,0
49,75.485,655,"Kirkland",0,0
58,302.51,666,"Redmond",1,1
23,121,524,"Kirkland",1,0
21,34.773,554,"Redmond",0,1
55,33.553,647,"Kirkland",0,1
68,47.69,799,"Redmond",0,1
52,114.964,799,"Bellevue",1,1
52,27.912,596,"Bellevue",0,0
54,122.436,673,"Bellevue",0,0
49,45.235,799,"Kirkland",1,1
32,103.693,531,"Bellevue",1,0
41,32.955,608,"Kirkland",1,1
57,32.467,701,"Bellevue",1,0
43,103.419,691,"Kirkland",0,0
68,56.115,668,"Bellevue",1,0
26,54.302,616,"Redmond",0,1
46,127.236,737,"Kirkland",1,0
53,24.299,680,"Kirkland",0,0
43,57.475,735,"Bellevue",1,0
61,41.488,596,"Bellevue",1,1
38,93.606,592,"Kirkland",0,0
48,15.611,386,"Redmond",0,0
40,56.838,680,"Redmond",0,0
70,68.745,799,"Redmond",0,1
49,31.49,582,"Bellevue",0,1
31,95.402,653,"Kirkland",1,1
46,95.754,750,"Redmond",0,1
48,65.63,707,"Kirkland",1,1
47,40.131,557,"Redmond",0,0
63,87.321,674,"Kirkland",0,1
57,85.259,799,"Kirkland",0,1
58,47.396,501,"Kirkland",1,0
51,17.108,684,"Kirkland",1,0
58,61.164,696,"Bellevue",1,0
58,68.759,656,"Bellevue",0,0
45,90.225,696,"Bellevue",0,1
46,40.134,635,"Redmond",1,0
21,192.124,545,"Bellevue",0,1
62,60.034,535,"Kirkland",1,0
52,45.465,484,"Redmond",1,0
46,43.379,799,"Bellevue",1,0
29,48.639,696,"Bellevue",0,1
58,52.057,698,"Redmond",0,0
20,142.661,697,"Redmond",0,1
70,63.617,675,"Bellevue",1,0
34,76.75,610,"Bellevue",1,1
27,43.108,490,"Bellevue",1,0
53,73.626,624,"Bellevue",1,1
34,85.465,662,"Kirkland",0,0
29,90.211,740,"Bellevue",0,0
38,107.528,591,"Bellevue",0,1
43,47.979,708,"Kirkland",1,0
41,54.952,594,"Redmond",1,0
47,49.393,624,"Redmond",0,1
59,41.002,548,"Redmond",0,1
29,30.827,566,"Bellevue",0,0
36,62.039,682,"Bellevue",1,0
21,20.543,474,"Bellevue",1,0
50,97.188,727,"Bellevue",0,1
68,95.327,563,"Kirkland",1,0
57,35.639,723,"Bellevue",0,0
68,35.92,460,"Kirkland",1,0
53,54.988,727,"Redmond",1,0
68,31.749,663,"Redmond",1,0
33,53.929,688,"Redmond",0,1
52,63.28,669,"Bellevue",1,0
44,21.582,734,"Redmond",1,1
39,42.648,660,"Bellevue",1,0
53,94.864,673,"Bellevue",1,0
21,35.644,656,"Kirkland",0,0
19,40.626,613,"Redmond",0,1
61,44.904,443,"Kirkland",0,0
48,67.455,705,"Bellevue",1,1
62,62.075,634,"Kirkland",1,0
50,150.346,799,"Redmond",0,1
23,165.255,545,"Redmond",0,1
66,64.545,738,"Redmond",1,1
48,36.883,577,"Redmond",1,1
23,60.688,770,"Bellevue",1,1
43,75.766,714,"Redmond",1,0
33,65.325,615,"Kirkland",1,0
49,133.792,503,"Redmond",0,1
52,41.291,609,"Bellevue",0,0
37,76.882,675,"Redmond",0,1
68,124.594,511,"Redmond",1,0
64,92.15,508,"Kirkland",1,0
29,135.69,575,"Kirkland",1,1
52,53.002,795,"Bellevue",1,0
52,46.848,513,"Bellevue",1,0
33,109.913,799,"Bellevue",1,1
31,38.35,453,"Bellevue",1,1
37,74.624,777,"Kirkland",1,1
67,42.48,510,"Redmond",0,0
22,36.525,799,"Redmond",1,0
22,44.5,733,"Kirkland",1,0
50,98.908,677,"Redmond",0,1
35,22.071,614,"Bellevue",1,0
43,53.873,731,"Redmond",0,1
40,29.529,799,"Bellevue",0,1
52,58.372,721,"Redmond",1,0
37,60.509,702,"Kirkland",1,0
61,68.939,556,"Bellevue",1,0
30,21.786,799,"Redmond",0,1
20,178.163,785,"Bellevue",1,1
65,40.581,658,"Redmond",1,0
37,55.531,676,"Redmond",0,0
60,34.933,606,"Kirkland",1,0
29,70.132,783,"Redmond",0,1
54,40.5,776,"Redmond",0,1
62,48.451,771,"Bellevue",1,0
52,32.337,517,"Redmond",1,0
69,68.227,781,"Kirkland",1,0
42,57.365,678,"Bellevue",1,0
69,73.51,681,"Redmond",0,1
59,121.933,569,"Kirkland",0,0
62,59.026,503,"Kirkland",1,0
40,30.459,777,"Kirkland",1,0
64,97.798,662,"Redmond",1,1
67,72.103,744,"Bellevue",1,1
70,41.025,673,"Redmond",1,0
34,76.325,634,"Kirkland",1,1
22,49.294,598,"Kirkland",1,0
43,43.269,755,"Kirkland",1,0
55,55.847,473,"Redmond",1,0
52,97.958,785,"Redmond",1,1
46,82.234,544,"Redmond",0,1
18,89.122,799,"Bellevue",1,1
35,26.653,554,"Bellevue",1,0
50,65.619,707,"Kirkland",1,0
34,141.393,799,"Kirkland",0,1
68,44.59,783,"Bellevue",0,0
30,43.795,710,"Kirkland",1,1
64,25.178,669,"Kirkland",0,0
68,19.812,731,"Bellevue",1,0
23,112.103,620,"Kirkland",0,0
23,82.959,504,"Kirkland",1,0
54,80.967,742,"Redmond",1,1
41,53.042,613,"Redmond",1,0
57,91.815,513,"Kirkland",0,1
28,61.203,572,"Kirkland",0,0
24,85.261,774,"Redmond",0,1
19,83.344,605,"Bellevue",0,1
65,93.292,506,"Bellevue",0,1
49,52.784,769,"Redmond",0,1
37,91.226,545,"Bellevue",1,0
52,91.857,571,"Kirkland",0,0
24,84.711,626,"Bellevue",0,1
22,53.466,799,"Kirkland",0,1
63,40.719,554,"Kirkland",1,0
46,76.027,466,"Redmond",0,0
48,33.443,716,"Kirkland",0,0
20,29.047,705,"Redmond",0,1
50,154.882,575,"Redmond",0,1
51,96.94,589,"Kirkland",0,1
25,44.033,799,"Kirkland",1,0
25,120.288,685,"Bellevue",1,1
61,20.468,799,"Bellevue",1,0
27,83.433,569,"Bellevue",1,1
20,74.647,673,"Redmond",1,1
51,36.003,655,"Bellevue",0,0
56,83.886,657,"Kirkland",1,1
70,45.502,799,"Redmond",0,1
51,56.953,777,"Kirkland",0,0
61,53.43,512,"Bellevue",1,0
67,68.096,585,"Redmond",0,1
20,88.17,661,"Kirkland",1,1
64,68.96,699,"Kirkland",1,1
29,114.301,625,"Kirkland",1,0
43,197.266,611,"Kirkland",0,1
19,44.713,424,"Kirkland",0,1
37,106.061,612,"Redmond",1,0
32,61.704,546,"Redmond",0,0
33,38.35,795,"Kirkland",1,0
28,52.283,799,"Bellevue",1,1
44,72.815,753,"Redmond",0,1
68,44.372,799,"Bellevue",1,1
24,36.073,765,"Bellevue",1,1
43,98.76,638,"Kirkland",0,0
49,66.84,688,"Kirkland",1,1
54,48.847,513,"Bellevue",0,1
33,123.332,726,"Redmond",1,0
53,37.703,660,"Redmond",1,1
37,23.507,613,"Redmond",0,1
54,23.619,569,"Bellevue",0,0
39,47.217,552,"Kirkland",1,0
26,64.789,600,"Redmond",1,0
45,29.505,556,"Kirkland",0,0
48,167.847,610,"Bellevue",0,1
43,50.839,799,"Kirkland",0,1
49,48.999,714,"Kirkland",0,1
44,56.482,551,"Bellevue",0,0
49,64.339,761,"Redmond",0,1
57,45.008,737,"Redmond",1,1
32,61.689,588,"Bellevue",0,1
54,108.934,789,"Bellevue",1,1
43,43.231,742,"Bellevue",1,1
46,44.802,576,"Bellevue",1,1
52,118.547,464,"Redmond",1,1
23,76.854,688,"Kirkland",0,1
37,59.778,608,"Kirkland",1,0
32,62.304,635,"Redmond",0,0
20,150.006,628,"Redmond",0,1
21,67.624,581,"Redmond",0,1
36,24.964,637,"Kirkland",1,0
27,66.267,715,"Redmond",1,0
28,43.358,598,"Redmond",0,0
56,53.005,601,"Bellevue",0,1
19,72.626,799,"Kirkland",0,1
41,47.747,674,"Bellevue",0,1
22,95.489,604,"Kirkland",0,1
26,53.415,799,"Bellevue",0,1
40,56.201,690,"Bellevue",0,1
56,35.699,536,"Kirkland",0,0
57,77.69,568,"Kirkland",0,1
60,71.75,778,"Bellevue",1,1
28,29.503,753,"Kirkland",0,0
44,95.885,614,"Bellevue",0,1
45,54.501,625,"Kirkland",0,0
29,75.908,489,"Bellevue",0,1
39,97.261,624,"Redmond",1,1
51,36.269,799,"Redmond",1,1
34,65.044,658,"Bellevue",0,1
68,34.269,587,"Bellevue",1,0
57,54.772,632,"Redmond",1,0
61,146.364,556,"Bellevue",1,1
28,39.663,533,"Bellevue",1,1
61,37.638,576,"Kirkland",1,0
45,47.782,713,"Bellevue",0,1
67,31.04,544,"Redmond",0,1
25,100.001,494,"Bellevue",1,1
43,41.659,503,"Redmond",1,0
19,50.329,628,"Bellevue",0,1
70,39.838,752,"Kirkland",1,0
55,115.218,634,"Redmond",1,1
27,44.026,536,"Kirkland",1,0
36,198.73,685,"Redmond",1,1
63,41.524,462,"Kirkland",1,0
29,44.29,786,"Kirkland",1,0
32,40.596,766,"Kirkland",0,1
41,43.94,554,"Kirkland",1,0
54,31.122,389,"Redmond",1,0
54,83.139,639,"Redmond",0,0
25,55.267,613,"Redmond",1,1
53,45.805,700,"Kirkland",0,0
50,79.268,639,"Bellevue",1,1
66,42.708,504,"Bellevue",1,0
49,40.764,612,"Redmond",0,0
52,166.683,607,"Kirkland",0,1
41,65.208,524,"Kirkland",1,0
56,92.276,799,"Bellevue",0,1
68,59.218,602,"Bellevue",1,0
26,59.681,689,"Kirkland",1,0
65,32.355,621,"Kirkland",1,0
33,93.996,702,"Kirkland",0,1
66,39.513,490,"Bellevue",1,0
50,67.915,680,"Redmond",0,1
32,134.503,799,"Kirkland",0,1
68,28.56,794,"Kirkland",0,0
41,66.226,799,"Kirkland",0,1
45,78.578,686,"Bellevue",1,0
27,85.921,735,"Bellevue",0,1
45,102.247,612,"Bellevue",1,1
43,13.728,799,"Bellevue",1,1
47,38.753,735,"Kirkland",0,1
38,46.291,624,"Kirkland",1,0
55,59.285,636,"Kirkland",1,0
60,55.696,710,"Redmond",1,0
63,143.899,653,"Kirkland",0,1
53,43.65,613,"Kirkland",1,0
62,105.446,660,"Bellevue",1,0
27,141.311,697,"Kirkland",0,1
45,67.992,799,"Redmond",1,1
27,48.288,651,"Bellevue",0,1
19,42.564,746,"Kirkland",0,0
43,66.555,699,"Redmond",1,0
43,33.283,745,"Redmond",0,0
66,30.258,606,"Redmond",0,1
25,68.453,573,"Bellevue",0,1
32,62.233,637,"Bellevue",0,1
32,40.171,657,"Redmond",0,0
43,30.306,799,"Bellevue",1,0
31,76.668,776,"Redmond",0,1
19,95.436,691,"Bellevue",0,1
23,77.043,606,"Bellevue",0,1
56,84.127,613,"Redmond",1,1
22,72.722,709,"Kirkland",0,1
65,24.026,770,"Bellevue",1,0
55,190.311,573,"Bellevue",0,1
62,76.383,421,"Bellevue",0,1
27,34.296,536,"Redmond",0,1
24,78.681,799,"Kirkland",0,1
47,95.27,573,"Kirkland",1,0
40,116.566,707,"Kirkland",0,1
57,85.397,494,"Bellevue",0,1
60,105.299,697,"Kirkland",0,0
24,25.561,604,"Kirkland",1,0
51,105.44,633,"Bellevue",0,1
41,68.925,724,"Bellevue",0,1
32,84.076,749,"Redmond",1,1
36,51.748,768,"Bellevue",0,0
52,98.305,508,"Bellevue",1,1
51,78.526,799,"Redmond",1,1
33,63.409,611,"Bellevue",1,0
23,66.652,351,"Bellevue",1,0
18,67.169,572,"Redmond",0,0
55,127.744,770,"Kirkland",1,0
33,161.808,519,"Kirkland",1,1
53,52.518,799,"Bellevue",0,0
42,67.203,511,"Redmond",1,1
46,22.835,589,"Redmond",0,0
69,22.006,688,"Kirkland",1,1
68,37.644,611,"Bellevue",0,1
19,117.76,603,"Redmond",1,1
41,36.936,683,"Kirkland",0,1
35,54.581,554,"Redmond",1,1
43,103.847,794,"Bellevue",1,1
40,17.612,720,"Redmond",1,1
68,62.248,572,"Redmond",0,0
41,250.714,645,"Redmond",1,1
61,41.282,543,"Bellevue",0,0
58,41.806,653,"Redmond",1,0
24,62.794,669,"Bellevue",0,0
39,57.993,672,"Bellevue",1,1
62,99.667,697,"Bellevue",0,1
70,55.315,516,"Redmond",1,0
